num_of_files,total_lines,mod_lines,label,insertions,deletions
2,322,61,non-bug,3,2
3,322,100,non-bug,26,18
2,181,17,non-bug,11,6
1,0,10,non-bug,5,5
3,93,84,non-bug,17,4
1,152,5,non-bug,4,1
1,156,11,non-bug,9,2
2,9122,12,non-bug,3,0
1,0,2,non-bug,1,1
1,0,3,non-bug,2,1
2,0,8,non-bug,4,4
1,0,2,non-bug,1,1
1,0,6,non-bug,3,3
1,190,36,bug,24,12
2,339,56,non-bug,10,5
2,338,26,non-bug,1,1
2,334,30,non-bug,5,2
2,334,30,non-bug,5,2
2,338,26,non-bug,1,1
5,240,641,non-bug,357,189
2,128,73,non-bug,11,9
4,89,80,non-bug,31,49
1,0,13,non-bug,0,0
1,130,2,non-bug,1,1
2,382,158,non-bug,43,38
2,0,18,non-bug,8,3
2,110,6,bug,2,2
2,0,18,non-bug,8,3
1,454,15,non-bug,1,14
2,380,158,non-bug,42,39
13,135,22,non-bug,9,12
2,786,100,non-bug,43,36
4,97,218,non-bug,99,85
1,240,480,non-bug,240,240
2,134,74,non-bug,12,17
1,133,2,non-bug,1,1
2,786,100,non-bug,43,36
2,77,20,non-bug,3,2
1,0,4,non-bug,0,0
2,481,73,non-bug,12,12
1,0,67,non-bug,0,0
1,0,6,non-bug,0,0
2,481,73,non-bug,12,12
1,156,4,non-bug,3,1
1,156,4,non-bug,3,1
2,149,223,non-bug,1,1
1,142,8,non-bug,4,4
2,142,70,non-bug,14,11
2,141,63,non-bug,10,8
13,1122,1057,non-bug,361,12
2,240,15,non-bug,6,7
3,266,122,non-bug,6,5
2,149,251,non-bug,1,1
1,0,4,non-bug,0,0
11,106,87,non-bug,66,14
1,0,20,non-bug,0,0
2,77,20,non-bug,3,2
2,66,22,non-bug,2,0
2,66,22,non-bug,2,0
2,126,46,non-bug,11,0
1,0,7,non-bug,0,0
1,241,7,non-bug,5,2
1,0,7,non-bug,0,0
2,421,153,non-bug,68,16
1,0,118,non-bug,0,0
1,0,118,non-bug,0,0
1,424,31,non-bug,17,14
2,111,22,non-bug,1,0
2,406,75,non-bug,45,8
2,369,49,non-bug,14,5
1,232,6,non-bug,6,0
2,171,72,non-bug,7,9
13,136,93,non-bug,51,26
4,80,62,non-bug,6,2
2,111,22,non-bug,1,0
2,369,49,non-bug,14,5
1,135,23,non-bug,10,13
4,931,327,non-bug,97,6
2,171,72,non-bug,7,9
2,175,131,non-bug,28,10
1,135,23,non-bug,10,13
13,166,89,non-bug,50,23
4,931,327,non-bug,97,6
5,0,1121,non-bug,0,0
1,777,51,non-bug,30,21
2,71,35,non-bug,3,1
1,97,4,non-bug,2,2
2,338,125,non-bug,8,3
2,338,125,non-bug,8,3
2,173,34,non-bug,15,2
2,173,34,non-bug,15,2
2,180,46,non-bug,0,0
3,360,119,non-bug,12,15
2,180,46,non-bug,0,0
1,157,2,non-bug,1,1
1,8994,146,non-bug,12,134
3,360,119,non-bug,12,15
3,768,144,non-bug,13,6
2,765,60,non-bug,9,5
3,761,48,non-bug,8,6
1,306,2,non-bug,1,1
3,761,48,non-bug,8,6
1,840,2,non-bug,1,1
3,8956,120,non-bug,10,68
3,8956,120,non-bug,10,68
1,840,2,non-bug,1,1
2,117,47,non-bug,8,8
1,231,9,non-bug,6,3
1,231,9,non-bug,6,3
2,117,47,non-bug,8,8
2,761,76,non-bug,7,2
2,761,24,non-bug,7,2
1,0,52,non-bug,0,0
6,228,1448,non-bug,74,23
2,228,82,non-bug,34,5
1,199,58,non-bug,40,18
2,217,38,non-bug,12,4
2,217,38,non-bug,12,4
2,9178,71,non-bug,15,6
2,9178,71,non-bug,15,6
2,331,30,non-bug,3,1
2,331,30,non-bug,3,1
12,840,378,non-bug,185,150
1,9169,2,non-bug,1,1
1,0,2,non-bug,1,1
1,0,2,non-bug,1,1
1,156,13,non-bug,8,5
1,156,13,non-bug,8,5
2,336,35,non-bug,4,0
1,0,2,non-bug,0,0
2,149,270,non-bug,102,168
2,116,17,non-bug,3,3
2,116,17,non-bug,3,3
1,9428,4,non-bug,2,2
2,188,34,non-bug,18,16
1,120,18,non-bug,15,3
9,834,303,non-bug,86,5
2,176,27,non-bug,0,0
2,187,49,non-bug,2,47
1,9427,56,non-bug,28,28
1,139,17,non-bug,7,10
1,0,8,non-bug,0,0
1,0,8,non-bug,0,0
7,96,702,non-bug,269,243
1,146,6,non-bug,5,1
2,755,127,non-bug,12,5
1,755,8,bug,7,1
2,752,118,non-bug,6,2
2,187,265,non-bug,77,103
1,63,19,non-bug,1,18
2,9488,52,non-bug,5,3
2,748,61,non-bug,1,1
1,0,3,non-bug,1,2
2,0,25,non-bug,1,1
2,0,25,non-bug,1,1
1,245,20,bug,17,3
1,0,2,non-bug,1,1
10,80,182,non-bug,74,5
2,308,18,non-bug,1,0
1,0,2,non-bug,1,1
1,0,2,non-bug,1,1
3,146,240,non-bug,69,21
3,146,240,non-bug,69,21
2,597,97,non-bug,14,35
2,597,97,non-bug,14,35
1,0,91,non-bug,50,41
1,0,91,non-bug,50,41
2,0,46,non-bug,40,6
2,323,99,non-bug,44,32
3,10036,14,non-bug,2,2
1,0,2,non-bug,0,0
2,10036,12,non-bug,2,2
2,141,146,non-bug,72,56
1,106,6,non-bug,5,1
2,0,73,non-bug,70,3
2,0,73,non-bug,70,3
3,206,110,non-bug,66,10
1,0,2,non-bug,1,1
1,0,2,non-bug,1,1
2,0,34,non-bug,2,2
1,0,1,non-bug,0,0
2,0,33,non-bug,2,2
3,78,235,non-bug,83,152
2,127,93,non-bug,44,45
2,127,93,non-bug,44,45
2,209,186,non-bug,113,37
4,186,221,non-bug,35,15
1,748,5,non-bug,4,1
1,186,34,non-bug,19,15
2,64,132,non-bug,1,4
3,61,9,non-bug,4,3
2,220,48,non-bug,32,16
2,182,153,non-bug,25,12
1,9715,8,non-bug,4,4
2,113,16,non-bug,1,1
2,113,16,non-bug,1,1
1,0,51,non-bug,0,0
1,0,51,non-bug,0,0
1,9715,8,non-bug,4,4
1,121,2,non-bug,1,1
1,80,9,non-bug,7,2
2,187,59,non-bug,14,19
1,0,14,non-bug,0,0
3,177,38,non-bug,25,3
21,481,527,non-bug,508,2
21,481,527,non-bug,508,2
2,75,13,non-bug,5,0
2,149,248,non-bug,71,103
3,152,50,non-bug,46,4
1,712,15,non-bug,14,1
1,712,15,non-bug,14,1
5,91,90,non-bug,31,4
4,91,24,non-bug,18,6
2,85,70,non-bug,15,0
4,122,77,non-bug,42,35
4,315,216,non-bug,101,83
4,315,216,non-bug,101,83
2,105,79,non-bug,10,9
2,105,79,non-bug,10,9
3,646,38,non-bug,22,2
1,628,4,non-bug,3,1
2,199,24,non-bug,4,2
1,133,2,non-bug,1,1
6,0,258,non-bug,107,103
6,0,258,non-bug,107,103
1,0,67,non-bug,0,0
10,142,245,non-bug,80,104
1,142,39,non-bug,21,18
2,498,39,non-bug,10,6
2,498,39,non-bug,10,6
3,211,15,non-bug,4,0
1,162,122,non-bug,73,49
5,107,26,non-bug,14,12
1,162,122,non-bug,73,49
1,195,2,non-bug,1,1
3,211,15,non-bug,4,0
1,197,2,non-bug,1,1
2,0,29,non-bug,7,7
1,197,2,non-bug,1,1
4,84,210,non-bug,148,62
4,84,210,non-bug,148,62
2,8350,81,non-bug,57,0
4,439,51,non-bug,9,9
1,68,136,non-bug,68,68
26,167,400,non-bug,295,96
1,0,72,non-bug,0,0
5,106,178,non-bug,134,44
5,106,178,non-bug,134,44
6,71,24,non-bug,7,7
2,186,428,non-bug,186,186
2,186,428,non-bug,186,186
2,7715,33,non-bug,5,2
2,7715,33,non-bug,5,2
2,0,37,non-bug,29,8
2,77,40,non-bug,6,2
2,440,46,non-bug,2,11
2,77,40,non-bug,6,2
1,0,2,non-bug,0,0
1,0,2,non-bug,0,0
3,7496,172,non-bug,0,168
1,0,678,non-bug,0,0
2,0,17,non-bug,3,6
2,0,11,non-bug,1,2
1,7598,12,non-bug,12,0
7,147,1104,non-bug,440,495
6,0,179,non-bug,71,19
1,0,10,non-bug,5,5
3,150,17,non-bug,10,5
1,0,13,non-bug,0,0
4,79,119,non-bug,45,24
1,0,2,non-bug,1,1
6,0,130,non-bug,108,22
5,0,20,non-bug,10,10
1,0,13,non-bug,0,0
2,0,112,non-bug,100,12
4,0,89,non-bug,63,13
2,0,34,non-bug,2,0
2,364,427,non-bug,225,186
3,268,264,non-bug,176,23
4,79,119,non-bug,45,24
2,184,253,non-bug,133,120
3,35,185,bug,120,65
1,145,7,non-bug,4,3
167,122,2409,non-bug,374,417
1,7552,2,non-bug,1,1
1,7552,2,non-bug,1,1
1,145,7,non-bug,4,3
167,122,2409,non-bug,374,417
2,264,64,non-bug,28,15
1,264,43,non-bug,28,15
5,100,255,non-bug,170,34
6,134,15820,non-bug,7854,7862
5,100,255,non-bug,170,34
1,0,202,non-bug,0,0
2,266,48,non-bug,9,3
1,0,202,non-bug,0,0
7,830,513,bug,239,248
2,266,48,non-bug,9,3
1,0,2,non-bug,0,0
3,7679,58,non-bug,9,1
2,195,15,non-bug,1,1
1,86,5,non-bug,4,1
2,195,15,non-bug,1,1
1,86,5,non-bug,4,1
2,0,15,non-bug,13,2
2,0,12,non-bug,11,1
48,99,1589,non-bug,48,1474
150,110,3036,bug,331,773
4,0,53,non-bug,10,5
6,187,105,bug,36,44
9,281,416,non-bug,94,67
10,91,545,non-bug,245,131
1,279,2,non-bug,1,1
1,279,2,non-bug,1,1
2,118,116,non-bug,17,9
16,56,241,non-bug,88,123
1,190,32,non-bug,19,13
1,0,2,non-bug,0,0
77,170,1070,bug,508,560
1,0,25,non-bug,0,0
2,0,50,non-bug,14,36
5,201,92,non-bug,46,3
1,0,6,non-bug,0,0
1,0,6,non-bug,0,0
1,0,4,non-bug,0,0
1,0,4,non-bug,0,0
3,163,88,non-bug,2,0
1,92,8,non-bug,4,4
1,0,3,non-bug,0,0
1,182,4,non-bug,0,0
5,160,892,non-bug,178,261
5,160,892,non-bug,178,261
4,182,196,bug,0,0
9,281,413,non-bug,94,64
1,0,9,non-bug,0,0
1,0,2,non-bug,1,1
4,279,156,non-bug,21,6
4,279,156,non-bug,21,6
2,112,18,non-bug,1,2
1,0,4,non-bug,0,0
6,264,43,non-bug,25,7
1,0,4,non-bug,0,0
6,264,43,non-bug,25,7
1,0,3,non-bug,0,3
13,186,864,non-bug,453,411
1,191,2,non-bug,1,1
1,0,3,non-bug,0,0
1,0,2,non-bug,1,1
4,110,246,non-bug,112,106
6,51,368,non-bug,54,157
11,124,781,bug,390,158
2,51,110,non-bug,5,3
3,65,12,non-bug,10,2
6,49,280,bug,52,157
2,112,18,non-bug,1,2
1,0,2,non-bug,1,1
14,0,1873,non-bug,1873,0
3,261,112,non-bug,12,2
3,261,89,non-bug,12,2
1,101,4,non-bug,3,1
1,101,4,non-bug,3,1
2,496,132,non-bug,98,4
1,0,2,non-bug,0,0
8,79,1150,bug,215,59
2,496,132,non-bug,98,4
1,8614,8,non-bug,4,4
1,0,68,non-bug,0,0
1,0,2,non-bug,0,0
1,0,68,non-bug,0,0
2,0,31,non-bug,0,0
1,8593,3932,non-bug,1979,1953
7,107,182,non-bug,39,143
1,74,7,non-bug,1,6
7,107,182,non-bug,39,143
1,209,2,non-bug,1,1
2,173,28,non-bug,8,1
7,91,923,non-bug,334,344
4,79,160,bug,94,66
6,91,664,non-bug,319,344
17,111,1491,non-bug,455,239
2,153,467,non-bug,16,8
3,0,8,non-bug,1,1
3,0,8,non-bug,1,1
2,402,250,bug,127,50
6,59,295,bug,112,78
1,8552,4,non-bug,3,1
13,464,646,bug,512,4
1,307,49,non-bug,29,20
2,91,46,non-bug,11,7
1,307,49,non-bug,29,20
1,0,7,non-bug,2,5
1,0,7,non-bug,2,5
2,101,109,non-bug,34,37
3,102,59,non-bug,33,26
4,0,102,non-bug,65,30
1,50,100,non-bug,50,50
