num_of_files,total_lines,mod_lines,label,insertions,deletions
51,45,757,None,146,611
17,699,1641,None,379,260
11,172,26,non-bug,13,13
3,12895,24,None,12,12
61,168,4099,non-bug,467,298
3,698,147,None,0,0
6,122,918,non-bug,453,0
43,190,3472,None,194,239
15,54,978,None,80,33
9,303,101,non-bug,17,4
1,0,2,None,1,1
6,115,88,non-bug,4,4
2,0,48,None,47,1
4,302,24,non-bug,18,6
7,32,240,None,42,3
10,24,65,non-bug,40,25
1,2920,3,non-bug,1,2
1,0,2,None,2,0
18,300,4178,non-bug,2576,2
31,57,3245,None,146,113
35,271,2907,non-bug,121,180
45,192,3509,None,266,672
4,12746,17,None,1,1
1,131,8,non-bug,4,4
4,2921,35,None,4,6
13,112,645,None,120,358
4,213,66,None,34,12
3,118,35,non-bug,3,0
1,204,22,None,0,22
161,0,322,None,1,1
2,115,161,None,50,36
1,0,2,None,0,0
2,115,161,None,50,36
1,679,4,None,0,0
1,679,7,None,0,0
13,226,1475,None,1133,6
1,680,8,None,0,0
3,47,95,None,64,0
3,0,8,None,0,0
3,676,85,None,0,0
2,278,104,None,50,10
9,234,237,non-bug,61,92
3,128,255,None,154,4
2,134,4,None,3,1
8,61,422,None,416,2
3,133,269,non-bug,158,1
4,109,204,None,137,1
7,84,2144,None,50,50
4,1070,189,None,0,0
11,293,231,None,1,1
3,207,403,None,119,45
2,959,37,None,6,7
3,84,457,None,457,0
2,0,17,None,0,0
3,0,10,non-bug,0,0
1,0,32,None,31,1
4,406,152,None,13,4
2,21,6,None,3,3
6,12746,69,None,0,48
24,197,80,None,40,40
16,117,605,None,238,14
2,406,74,non-bug,18,2
23,238,114,None,64,19
1,0,2,None,1,1
1,0,19,None,19,0
4,1036,263,None,0,0
7,120,353,non-bug,56,12
1,90,1,None,0,1
6,100,28,None,0,28
1,0,79,None,0,0
46,110,2182,None,760,171
58,123,2386,None,839,162
64,116,2731,None,643,154
42,929,1931,None,532,59
10,112,480,None,249,16
1,91,2,non-bug,1,1
1,0,47,None,0,0
1,0,6,non-bug,0,0
5,120,18,None,9,9
2,2847,4,non-bug,2,2
170,66,2520,bug,1398,1045
511,85,3567,None,1124,1054
109,979,5405,None,375,383
13,342,615,non-bug,227,164
5,0,245,None,0,0
101,97,3300,None,34,8
6,98,923,None,725,0
6,302,104,None,2,2
6,73,256,non-bug,77,29
11,158,913,non-bug,656,208
21,72,1981,None,1690,161
1,294,2,None,1,1
34,100,4167,None,2898,299
11,82,21,non-bug,4,11
19,103,57,None,1,56
10,388,78,None,23,55
14,305,324,non-bug,186,49
1,0,2,non-bug,0,0
9,71,181,non-bug,31,38
